ID,author,date,Language,sentence_id,sentence,context,Theme,manual_annotation
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,1,з’їж ранкову порцію любові,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,2,кнопочку натисни – будуть зміни,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,3,нерестяться люди іграшкові,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,4,весни насуваються на зими,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,5,істина в багеті чи в пакеті,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,6,і на лінзи схожі очі карі,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,7,мефістофель грає на кларнеті,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,8,рабинович грає на гітарі,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,9,і така занедбаність навколо,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
UP2093,Dmytro Lazutkin,2014-01-10,Ukrainian,10,майже після кожної відлиги,"*** 
з’їж ранкову порцію любові
кнопочку натисни – будуть зміни...
нерестяться люди іграшкові
весни насуваються на зими
істина в багеті чи в пакеті
і на лінзи схожі очі карі
мефістофель грає на кларнеті
рабинович грає на гітарі
і така занедбаність навколо
майже після кожної відлиги...
пам”ятаєш – ми збирали зорі
навіть більше – ми читали книги
нам було написано...нарешті
наші сестри - все одно по вуха
це важливо – друга або перша
неважливо – сьома або друга
кожна річ – засвітиться у слові
навіть якщо зболено чи скрутно...
з’їж ранкову порцію любові
зголоднієш – вимагай наступну 
2006","['seasons', 'language', 'ukraine', 'protest', 'memory', 'hope', 'psychology']",
